Dataset,Language,BLEU,COMET
WMT,ar_EG,2.76,0.5
WMT,ar_SA,1.61,0.49
WMT,bg_BG,2.67,0.48
WMT,bn_IN,1.48,0.46
WMT,ca_ES,5.99,0.63
WMT,cs_CZ,4.01,0.54
WMT,da_DK,15.87,0.69
WMT,de_DE,10.3,0.62
WMT,el_GR,8.64,0.58
WMT,es_MX,6.79,0.67
WMT,et_EE,3.87,0.57
WMT,fa_IR,2.57,0.51
WMT,fi_FI,11.31,0.64
WMT,fr_CA,11.53,0.65
WMT,fr_FR,12.24,0.64
WMT,gu_IN,3.0,0.43
WMT,he_IL,11.83,0.56
WMT,hi_IN,6.52,0.45
WMT,hr_HR,5.61,0.56
WMT,hu_HU,3.56,0.56
